,Apprehension Date,Apprehension AOR,citizenship_country,citizenship_country_cleaned,Continent,Country
77443,2025-07-28,Miami,Colombia,Colombia,South America,Colombia
77444,2025-07-28,Dallas,Venezuela,Venezuela,South America,Venezuela
77445,2025-07-28,Dallas,Venezuela,Venezuela,South America,Venezuela
77446,2025-07-28,Dallas,Colombia,Colombia,South America,Colombia
77447,2025-07-28,Newark,Turkiye,Turkey,Europe,Turkey
77448,2025-07-28,Dallas,Romania,Romania,Europe,Romania
77449,2025-07-28,Los Angeles,Mexico,Mexico,North America,Mexico
77450,2025-07-28,El Paso,Mexico,Mexico,North America,Mexico
77451,2025-07-28,Miami,Mexico,Mexico,North America,Mexico
77452,2025-07-28,Chicago,Ecuador,Ecuador,South America,Ecuador
77453,2025-07-28,San Antonio,Venezuela,Venezuela,South America,Venezuela
77454,2025-07-28,New York City,Ecuador,Ecuador,South America,Ecuador
77455,2025-07-28,San Antonio,Cuba,Cuba,North America,Cuba
77456,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77457,2025-07-28,San Francisco,El Salvador,El Salvador,North America,El Salvador
77458,2025-07-28,Chicago,Mexico,Mexico,North America,Mexico
77459,2025-07-28,San Francisco,Mexico,Mexico,North America,Mexico
77460,2025-07-28,San Francisco,El Salvador,El Salvador,North America,El Salvador
77461,2025-07-28,Dallas,Guatemala,Guatemala,North America,Guatemala
77462,2025-07-28,Los Angeles,Mexico,Mexico,North America,Mexico
77463,2025-07-28,San Antonio,Mexico,Mexico,North America,Mexico
77464,2025-07-28,New Orleans,Nicaragua,Nicaragua,North America,Nicaragua
77465,2025-07-28,Atlanta,Mexico,Mexico,North America,Mexico
77466,2025-07-28,Atlanta,Nicaragua,Nicaragua,North America,Nicaragua
77467,2025-07-28,El Paso,Mexico,Mexico,North America,Mexico
77468,2025-07-28,New York City,El Salvador,El Salvador,North America,El Salvador
77469,2025-07-28,San Francisco,India,India,Asia,India
77470,2025-07-28,Denver,El Salvador,El Salvador,North America,El Salvador
77471,2025-07-28,Baltimore,Uzbekistan,Uzbekistan,Asia,Uzbekistan
77472,2025-07-28,Denver,El Salvador,El Salvador,North America,El Salvador
77473,2025-07-28,Miami,Brazil,Brazil,South America,Brazil
77474,2025-07-28,Denver,Honduras,Honduras,North America,Honduras
77475,2025-07-28,New Orleans,Mexico,Mexico,North America,Mexico
77476,2025-07-28,Newark,Dominican Republic,Dominican Republic,North America,Dominican Republic
77477,2025-07-28,Washington,Honduras,Honduras,North America,Honduras
77478,2025-07-28,Chicago,Mexico,Mexico,North America,Mexico
77479,2025-07-28,New Orleans,Mexico,Mexico,North America,Mexico
77480,2025-07-28,Dallas,Mexico,Mexico,North America,Mexico
77481,2025-07-28,Seattle,Honduras,Honduras,North America,Honduras
77482,2025-07-28,Salt Lake City,Mexico,Mexico,North America,Mexico
77483,2025-07-28,Boston,Congo,Congo,Africa,Congo
77484,2025-07-28,Newark,Guatemala,Guatemala,North America,Guatemala
77485,2025-07-28,New York City,Ecuador,Ecuador,South America,Ecuador
77486,2025-07-28,Newark,Nicaragua,Nicaragua,North America,Nicaragua
77487,2025-07-28,New Orleans,Guatemala,Guatemala,North America,Guatemala
77488,2025-07-28,New York City,Jamaica,Jamaica,North America,Jamaica
77489,2025-07-28,New Orleans,Guatemala,Guatemala,North America,Guatemala
77490,2025-07-28,Newark,Mexico,Mexico,North America,Mexico
77491,2025-07-28,Buffalo,Ecuador,Ecuador,South America,Ecuador
77492,2025-07-28,San Francisco,Honduras,Honduras,North America,Honduras
