,Apprehension Date,Apprehension AOR,citizenship_country,citizenship_country_cleaned,Continent,Country
77752,2025-06-15,Miami,Venezuela,Venezuela,South America,Venezuela
77753,2025-06-27,El Paso,Venezuela,Venezuela,South America,Venezuela
77754,2025-07-27,Chicago,Venezuela,Venezuela,South America,Venezuela
77755,2025-07-27,St. Paul,Honduras,Honduras,North America,Honduras
77756,2025-06-16,Miami,Venezuela,Venezuela,South America,Venezuela
77757,2025-01-28,Miami,Venezuela,Venezuela,South America,Venezuela
77758,2025-07-27,Houston,Guatemala,Guatemala,North America,Guatemala
77759,2025-06-21,Dallas,Venezuela,Venezuela,South America,Venezuela
77760,2025-06-09,El Paso,Venezuela,Venezuela,South America,Venezuela
77761,2025-07-27,Newark,Guatemala,Guatemala,North America,Guatemala
77762,2025-07-27,Washington,El Salvador,El Salvador,North America,El Salvador
77763,2025-07-27,San Francisco,Mexico,Mexico,North America,Mexico
77764,2025-07-27,Los Angeles,Colombia,Colombia,South America,Colombia
77765,2025-07-27,Houston,Honduras,Honduras,North America,Honduras
77766,2025-07-27,San Francisco,Vietnam,Vietnam,Asia,Vietnam
77767,2025-07-27,Washington,Guatemala,Guatemala,North America,Guatemala
77768,2025-06-02,San Francisco,El Salvador,El Salvador,North America,El Salvador
77769,2025-07-27,Chicago,Mexico,Mexico,North America,Mexico
77770,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77771,2025-07-27,Newark,Mexico,Mexico,North America,Mexico
77772,2025-07-27,Boston,Ecuador,Ecuador,South America,Ecuador
77773,2025-07-27,Houston,Mexico,Mexico,North America,Mexico
77774,2025-07-27,Denver,Nicaragua,Nicaragua,North America,Nicaragua
77775,2025-07-24,Miami,Haiti,Haiti,North America,Haiti
77776,2025-07-27,Los Angeles,Peru,Peru,South America,Peru
