apprehension_date,Apprehension Method
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP State Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,Located
3/3/17,287(g) Program
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP State Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,ERO Reprocessed Arrest
3/3/17,CAP Local Incarceration
3/3/17,287(g) Program
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP State Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,287(g) Program
3/3/17,Probation and Parole
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,287(g) Program
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Probation and Parole
3/3/17,CAP Federal Incarceration
3/3/17,CAP State Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP State Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,287(g) Program
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP State Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Other efforts
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP State Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Located
3/3/17,CAP State Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP State Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Other efforts
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,Probation and Parole
3/3/17,Other Agency (turned over to INS)
3/3/17,CAP Federal Incarceration
3/3/17,Other efforts
3/3/17,CAP Local Incarceration
3/3/17,287(g) Program
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,287(g) Program
3/3/17,CAP State Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,Located
3/3/17,Non-Custodial Arrest
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Other Task Force
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Local Incarceration
3/3/17,Probation and Parole
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Law Enforcement Agency Response Unit
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP State Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Located
3/3/17,Non-Custodial Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,287(g) Program
3/3/17,CAP State Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP State Incarceration
3/3/17,ERO Reprocessed Arrest
3/3/17,Located
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Other efforts
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,Other Agency (turned over to INS)
3/3/17,CAP Federal Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Located
3/3/17,Located
3/3/17,Non-Custodial Arrest
3/3/17,Other Task Force
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP State Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,Non-Custodial Arrest
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP State Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP State Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP State Incarceration
3/3/17,CAP State Incarceration
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Other Agency (turned over to INS)
3/3/17,Located
3/3/17,ERO Reprocessed Arrest
3/3/17,Non-Custodial Arrest
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Probation and Parole
3/3/17,CAP Federal Incarceration
3/3/17,CAP State Incarceration
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP State Incarceration
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,Probation and Parole
3/3/17,Located
3/3/17,Non-Custodial Arrest
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,Non-Custodial Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,ERO Reprocessed Arrest
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,Located
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,Located
3/3/17,CAP Federal Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,ERO Reprocessed Arrest
3/3/17,CAP Federal Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,CAP Federal Incarceration
3/3/17,Non-Custodial Arrest
3/3/17,Non-Custodial Arrest
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/3/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,287(g) Program
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,Located
3/2/17,Non-Custodial Arrest
3/2/17,Probation and Parole
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,Probation and Parole
3/2/17,CAP Federal Incarceration
3/2/17,CAP State Incarceration
3/2/17,287(g) Program
3/2/17,CAP State Incarceration
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,Non-Custodial Arrest
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,287(g) Program
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,CAP State Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,287(g) Program
3/2/17,Non-Custodial Arrest
3/2/17,Law Enforcement Agency Response Unit
3/2/17,CAP Local Incarceration
3/2/17,Probation and Parole
3/2/17,Located
3/2/17,Located
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Law Enforcement Agency Response Unit
3/2/17,CAP Local Incarceration
3/2/17,287(g) Program
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,Located
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Traffic Check
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP State Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,Other efforts
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,Located
3/2/17,287(g) Program
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Non-Custodial Arrest
3/2/17,Other efforts
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,287(g) Program
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,ERO Reprocessed Arrest
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Probation and Parole
3/2/17,Located
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,287(g) Program
3/2/17,287(g) Program
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,ERO Reprocessed Arrest
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Non-Custodial Arrest
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,287(g) Program
3/2/17,Located
3/2/17,Probation and Parole
3/2/17,CAP State Incarceration
3/2/17,ERO Reprocessed Arrest
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,287(g) Program
3/2/17,CAP Federal Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,287(g) Program
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP State Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,Other efforts
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,CAP Federal Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP State Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,ERO Reprocessed Arrest
3/2/17,Located
3/2/17,CAP State Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Probation and Parole
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Probation and Parole
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP State Incarceration
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP State Incarceration
3/2/17,Located
3/2/17,CAP State Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,Probation and Parole
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Law Enforcement Agency Response Unit
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Anti-Smuggling
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,CAP State Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Probation and Parole
3/2/17,Non-Custodial Arrest
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,287(g) Program
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Law Enforcement Agency Response Unit
3/2/17,Non-Custodial Arrest
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,287(g) Program
3/2/17,Other efforts
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,CAP State Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,287(g) Program
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,287(g) Program
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,ERO Reprocessed Arrest
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Other efforts
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Probation and Parole
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Probation and Parole
3/2/17,Non-Custodial Arrest
3/2/17,287(g) Program
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Federal Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Law Enforcement Agency Response Unit
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,Located
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/2/17,CAP Local Incarceration
3/2/17,287(g) Program
3/2/17,CAP State Incarceration
3/2/17,CAP State Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Non-Custodial Arrest
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP State Incarceration
3/2/17,287(g) Program
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Non-Custodial Arrest
3/2/17,Located
3/2/17,CAP Federal Incarceration
3/2/17,287(g) Program
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,CAP Local Incarceration
3/2/17,Located
3/1/17,Other Agency (turned over to INS)
3/1/17,CAP Federal Incarceration
3/1/17,Non-Custodial Arrest
3/1/17,CAP Federal Incarceration
3/1/17,CAP Local Incarceration
3/1/17,CAP Local Incarceration
3/1/17,Non-Custodial Arrest
3/1/17,Located
3/1/17,CAP Local Incarceration
3/1/17,CAP Local Incarceration
3/1/17,CAP Federal Incarceration
3/1/17,Non-Custodial Arrest
3/1/17,CAP Local Incarceration
3/1/17,CAP Federal Incarceration
3/1/17,CAP Local Incarceration
3/1/17,CAP Local Incarceration
3/1/17,Probation and Parole
3/1/17,CAP Local Incarceration
3/1/17,CAP Federal Incarceration
3/1/17,287(g) Program
3/1/17,Non-Custodial Arrest
3/1/17,CAP State Incarceration
3/1/17,CAP Federal Incarceration
3/1/17,CAP Local Incarceration
3/1/17,CAP Local Incarceration
3/1/17,Non-Custodial Arrest
3/1/17,CAP Local Incarceration
3/1/17,CAP State Incarceration
3/1/17,CAP Federal Incarceration
3/1/17,CAP State Incarceration
3/1/17,CAP Federal Incarceration
3/1/17,Non-Custodial Arrest
3/1/17,CAP Local Incarceration
3/1/17,CAP Local Incarceration
