state,district,statedistrict,pvi,year,Full Name,last_name,party
WA,7,WA-7,-36,2024,Pramila Jayapal,Jayapal,Democrat
WA,2,WA-2,-9,2024,Rick Larsen,Larsen,Democrat
WA,4,WA-4,11,2024,Dan Newhouse,Newhouse,Republican
WA,6,WA-6,-6,2024,Emily Randall,Randall,Democrat
WA,8,WA-8,-1,2024,Kim Schrier,Schrier,Democrat
WA,9,WA-9,-21,2024,Adam Smith,Smith,Democrat
WA,10,WA-10,-7,2024,Marilyn Strickland,Strickland,Democrat
WI,5,WI-5,14,2024,Scott Fitzgerald,Fitzgerald,Republican
WI,6,WI-6,10,2024,Glenn Grothman,Grothman,Republican
WI,4,WI-4,-25,2024,Gwen Moore,Moore,Democrat
WI,2,WI-2,-19,2024,Mark Pocan,Pocan,Democrat
WI,1,WI-1,3,2024,Bryan Steil,Steil,Republican
WI,7,WI-7,12,2024,Thomas P. Tiffany,Tiffany,Republican
WI,3,WI-3,4,2024,Derrick Van Orden,Van Orden,Republican
WI,8,WI-8,10,2024,Tony Wied,Wied,Republican
WV,1,WV-1,23,2024,Carol D. Miller,Miller,Republican
WV,2,WV-2,22,2024,Riley M. Moore,Moore,Republican
WY,AL,WY-AL,25,2024,Harriet M. Hageman,Hageman,Republican
