weeks_since_jan20,arrests
-16,1781
-15,1937
-14,2362
-13,2182
-12,2084
-11,2270
-10,1941
-9,1867
-8,1844
-7,2289
-6,2277
-5,2104
-4,1323
-3,1561
-2,2169
-1,1996
0,2356
1,2535
2,3197
3,2849
4,2419
5,2842
6,3163
7,2807
8,2827
9,3204
10,2975
11,2871
12,2936
13,2969
14,2830
15,2790
16,2963
17,3114
18,2602
19,3199
20,3133
21,2853
22,3140
23,2366
24,3157
25,3174
26,3669
27,3112
28,3084
29,3190
30,3136
31,2722
32,2517
33,3040
34,3135
35,3363
36,646
