operational_status,site_postcode,site_grid_reference,easting,northing,latitude,longitude,nrw_area
Operational,SA1 8LN,SS 67240 97390,267240,197390,51.65956750845185,-3.920751197469738,SouthWest
Operational,SA62 4DB,SM 97000 21600,197000,221600,51.85597077752282,-4.949181168889668,SouthWest
Operational,CF48 4AB,SO 08140 07680,308140,207680,51.76024345332889,-3.3323727966419745,SouthEast
Closed,NP23 6PZ,SO 18460 06550,318460,206550,51.75168558425613,-3.1826161014917314,SouthEast
Operational,CF62 3ZR,ST 04000 67200,304000,167200,51.39568537631662,-3.3812608877184362,SouthEast
Operational,CH5 2NH,SJ 29143 70981,329143,370981,53.23111957590248,-3.0629488885398475,North
Operational,SA32 8BG,SN 47860 17580,247860,217580,51.83604794880237,-4.209562342433406,SouthWest
Operational,SA8 4RX,SN 69470 08330,269470,208330,51.7583997333543,-3.8926307075496487,SouthWest
Closed,SA6 6DR,SS 66500 99300,266500,199300,51.67655551474751,-3.9321734648524425,SouthWest
Operational,CF44 0BX,SO 00900 05330,300900,205330,51.73788524339147,-3.436569327568618,SouthEast
Operational,CF3 8EQ,ST 22500 78000,322500,178000,51.49560827375338,-3.1177774142727603,SouthEast
Operational,SY18 6JJ,SN 99100 82200,299100,282200,52.428439599175555,-3.4853966089129402,Mid
Closed,LL14 5AR,SJ 29140 41430,329140,341430,52.96553029323884,-3.0564651986915488,North
Operational,SA9 2QQ,SN 76870 11510,276870,211510,51.78865459083558,-3.7865997013331385,SouthWest
Operational,SA13 2NG,SS 77610 84280,277610,184280,51.54410365493668,-3.7663299514787556,SouthWest
