Representative,Party,State Full,state,Vote,district,statedistrict,pvi,year,Full Name,last_name,party
Budzinski,Democratic,Illinois,IL,Yea,13,IL-13,-3.0,2024.0,Nikki Budzinski,Budzinski,Democrat
Burchett,Republican,Tennessee,TN,Yea,3,TN-3,19.0,2024.0,Tim Burchett,Burchett,Republican
Burlison,Republican,Missouri,MO,Yea,7,MO-7,24.0,2024.0,Eric Burlison,Burlison,Republican
Bynum,Democratic,Oregon,OR,Yea,6,OR-6,-4.0,2024.0,Janelle S. Bynum,Bynum,Democrat
Calvert,Republican,California,CA,Yea,41,CA-41,3.0,2024.0,Ken Calvert,Calvert,Republican
Cammack,Republican,Florida,FL,Yea,3,FL-3,9.0,2024.0,Kat Cammack,Cammack,Republican
Carbajal,Democratic,California,CA,Nay,24,CA-24,-13.0,2024.0,Salud O. Carbajal,Carbajal,Democrat
Carson,Democratic,Indiana,IN,Nay,7,IN-7,-19.0,2024.0,André Carson,Carson,Democrat
Carter,Republican,Georgia,GA,Yea,1,GA-1,9.0,2024.0,"Earl L. ""Buddy"" Carter",Carter,Republican
Carter,Democratic,Louisiana,LA,Nay,2,LA-2,-25.0,2024.0,Troy A. Carter,Carter,Democrat
Carter,Republican,Texas,TX,Yea,31,TX-31,14.0,2024.0,John R. Carter,Carter,Republican
Casar,Democratic,Texas,TX,Nay,35,TX-35,-21.0,2024.0,Greg Casar,Casar,Democrat
Case,Democratic,Hawaii,HI,Nay,1,HI-1,-14.0,2024.0,Ed Case,Case,Democrat
