FID,objectid,permit_number,operator,permit_status,effective_date,operational_status,permit_type,site_name,site_address_1,site_address_2,site_address_3,site_towncity,site_postcode,site_grid_reference,easting,northing,nrw_area,complianceteam,local_aurthority,permit_regime,permit_activity_code,permit_activity_description,permit_activity_limit,permit_activity_limit_units,geom
nrw_authorised_landfill_sites_pnt.32,32,HP3199FJ,"Jenkins Messrs H, M & G",Effective,1986-03-14T00:00:00,Closed,Bespoke,Tir Gwaid Farm  Landfill,,,,Wattstown,CF39 0PS,ST 01877 94337,301877,194337,SouthEast,SC Waste Regulation Team,Rhondda Cynon Taff,Waste,A06,Landfill taking other wastes,4999,Tonnes per annum,POINT (301877 194337)
nrw_authorised_landfill_sites_pnt.33,33,HP3394FV,Onyx Leigh Environmental Ltd,Effective,1994-03-18T00:00:00,Closed,Bespoke,Bagillt Landfill Site,,,,Bagillt,CH6 6HE,SJ 22151 75431,322151,375431,North,NE Waste Regulation Team,Flintshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (322151 375431)
nrw_authorised_landfill_sites_pnt.34,34,HP3494FA,Robin Jones & Sons Limited,Effective,1994-04-28T01:00:00,Closed,Bespoke,Plas Gwernoer,Nantlle,,,Caernarfon,LL54 6BB,SH 50590 52677,250590,352677,North,NE Waste Regulation Team,Gwynedd,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (250590 352677)
nrw_authorised_landfill_sites_pnt.35,35,HP3598FM,Lawrence T & G,Effective,1997-03-12T00:00:00,Closed,Bespoke,Pope Hill 3,,,,Pope Hill,SA62 3NX,SM 93779 12694,193779,212694,SouthWest,SW Waste Regulation Team,Pembrokeshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (193779 212694)
nrw_authorised_landfill_sites_pnt.36,36,HP3799FH,Tarmac Cement Limited,Effective,2024-08-19T01:00:00,Closed,Bespoke,Aberthaw Cement Works,East Aberthaw,,,Barry,CF62 3ZR,ST 03541 67087,303541,167087,SouthEast,SC Waste Regulation Team,Vale of Glamorgan,Waste,A07,Industrial Waste Landfill (Factory curtilage),0,Tonnes per annum,POINT (303541 167087)
nrw_authorised_landfill_sites_pnt.37,37,HP3899FC,Corus Strip Products      P P C (gp3331sv),Effective,1979-05-31T01:00:00,Closed,Bespoke,Llanwern Landfill : South Side Of Queensway,Llanwern Works,,,Newport,NP19 4QX,ST 37559 86205,337559,186205,SouthEast,SE Waste Regulation Team,Newport,Waste,A07,Industrial Waste Landfill (Factory curtilage),0,Tonnes per annum,POINT (337559 186205)
nrw_authorised_landfill_sites_pnt.38,38,JB3597TN,City and County of Swansea,Effective,2018-08-15T01:00:00,Closed,Bespoke,Tir John Landfill ( Closed Site),Tir John Landfill,Fabian Way,Port Tennant,Swansea,SA1 8QP,SS 68747 93461,268747,193461,SouthWest,SW Waste Regulation Team,Swansea,Waste,A02,Other Landfill Site taking Hazardous Waste,0,Tonnes per annum,POINT (268747 193461)
nrw_authorised_landfill_sites_pnt.39,39,KP3198FQ,Lloyd-woods Howell G & Enid M,Effective,1996-03-29T00:00:00,Closed,Bespoke,Wogaston,,,,Pembroke,SA71 5AA,SM 90762 01132,190762,201132,SouthWest,SW Waste Regulation Team,Pembrokeshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (190762 201132)
nrw_authorised_landfill_sites_pnt.40,40,KP3994FG,Cyngor Sir Ynys Mon,Effective,2021-05-11T01:00:00,Closed,Bespoke,Penhesgyn Gors Landfill (area 3),Penhesgyn Gor Landfill,,,Menai Bridge,LL59 5RY,SH 53285 74494,253285,374494,North,NE Waste Regulation Team,Isle of Anglesey,Waste,A04,"Household, Commercial & Industrial Waste Landfill",0,Tonnes per annum,POINT (253285 374494)
nrw_authorised_landfill_sites_pnt.41,41,LP3298FS,Ceredigion County Council,Effective,1993-06-09T01:00:00,Closed,Bespoke,Penrhos Depot Landfill,,,,Llandysul,SA44 4SX,SN 38038 45531,238038,245531,Mid,Mid Waste and Enforcement Team,Ceredigion,Waste,A05,Landfill taking Non-Biodegradeable Wastes,74999,Tonnes per annum,POINT (238038 245531)
nrw_authorised_landfill_sites_pnt.42,42,LP3394FD,Castle Cement Padeswood Ltd,Effective,2016-05-25T01:00:00,Closed,Bespoke,Cefn Mawr Quarry Landfill,Cefn Mawr Quarry Landfill,,,Mold,CH7 5ED,SJ 20590 63613,320590,363613,North,NE Waste Regulation Team,Flintshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (320590 363613)
nrw_authorised_landfill_sites_pnt.43,43,LP3998FV,Huw Merriman,Effective,1993-05-19T01:00:00,Closed,Bespoke,Blaencilgoed Farm,Ludchurch,,,Narberth,SA67 8LA,SN 14937 10768,214937,210768,SouthWest,SW Waste Regulation Team,Pembrokeshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,4999,Tonnes per annum,POINT (214937 210768)
nrw_authorised_landfill_sites_pnt.44,44,MP3494FQ,Gwynedd Council,Effective,1992-10-15T01:00:00,,Bespoke,Llwyn Isaf Landfill And Transfer Station,"Clynnog Fawr, Penygroes",,,Caernarfon,LL54 5DF,SH 45067 49027,245067,349027,North,NW Industry & Waste Regulation Team,Gwynedd,Waste,A04,"Household, Commercial & Industrial Waste Landfill",40000,Tonnes per annum,POINT (245067 349027)
nrw_authorised_landfill_sites_pnt.45,45,NP3199FM,Newport City Council,Effective,1992-02-28T00:00:00,,Bespoke,Docks Way Landfill,Maesglas,,,Newport,NP20 2NS,ST 30380 85851,330380,185851,SouthEast,SE Waste Regulation Team,Newport,Waste,A04,"Household, Commercial & Industrial Waste Landfill",74999,Tonnes per annum,POINT (330380 185851)
nrw_authorised_landfill_sites_pnt.46,46,NP3399FK,Richard Kinsey,Effective,1992-10-09T01:00:00,Closed,Bespoke,Coli Isaf Farm Landfill,Bedlinog,,,Merthyr Tydfil,CF46 6SH,SO 09372 02122,309372,202122,SouthEast,SC Waste Regulation Team,Merthyr Tydfil,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (309372 202122)
nrw_authorised_landfill_sites_pnt.47,47,PP3195CR,John N Bowen,Effective,2016-02-09T00:00:00,Closed,Bespoke,"J A Bowen & Co, Landfill",Cyfronnydd,,,Welshpool,SY21 9EY,SJ 14638 06361,314638,306361,Mid,Mid Waste and Enforcement Team,Powys,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (314638 306361)
nrw_authorised_landfill_sites_pnt.48,48,PP3294FJ,Gwynedd Council,Effective,2023-11-16T00:00:00,Operational,Bespoke,Ffridd Rasus Waste Management Facility,Morfa Road,,,Harlech,LL46 2UW,SH 57933 33868,257933,333868,North,NW Industry & Waste Regulation Team,Gwynedd,Waste,A04,"Household, Commercial & Industrial Waste Landfill",5000,Tonnes per annum,POINT (257933 333868)
nrw_authorised_landfill_sites_pnt.49,49,PP3395FS,Amgen Rhondda Ltd,Effective,1995-03-15T00:00:00,Closed,Bespoke,Nant Y Gwyddon  Landfill,Gelli,,,Pentre,CF41 7TL,SS 98107 94321,298107,194321,SouthEast,SC Waste Regulation Team,Rhondda Cynon Taff,Waste,A04,"Household, Commercial & Industrial Waste Landfill",300000,Tonnes per annum,POINT (298107 194321)
nrw_authorised_landfill_sites_pnt.50,50,PP3398FK,Bridgend County Borough Council,Effective,1992-01-22T00:00:00,Closed,Bespoke,Stormy Farm Landfill,,,,Bridgend,CF33 6RD,SS 84085 81696,284085,181696,SouthWest,SC Waste Regulation Team,Bridgend,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (284085 181696)
nrw_authorised_landfill_sites_pnt.51,51,PP3695CU,J A Williams,Effective,1983-10-14T01:00:00,Closed,Bespoke,Kingswood Farm Landfill,Forden,,,Welshpool,SY21 8TS,SJ 24750 01726,324750,301726,Mid,Mid Waste and Enforcement Team,Powys,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (324750 301726)
nrw_authorised_landfill_sites_pnt.52,52,PP3798FV,Carmarthenshire County Council,Effective,1992-06-18T01:00:00,Closed,Bespoke,Waunlwyd Farm,Hermon,,,Cynwyl Elfed,SA33 6SR,SN 35109 31812,235109,231812,SouthWest,SW Waste Regulation Team,Carmarthenshire,Waste,A05,Landfill taking Non-Biodegradeable Wastes,0,Tonnes per annum,POINT (235109 231812)
