FID,objectid,permit_number,operator,permit_status,effective_date,operational_status,permit_type,site_name,site_address_1,site_address_2,site_address_3,site_towncity,site_postcode,site_grid_reference,easting,northing,nrw_area,complianceteam,local_aurthority,permit_regime,permit_activity_code,permit_activity_description,permit_activity_limit,permit_activity_limit_units,geom
nrw_authorised_landfill_sites_pnt.73,73,YP3299FW,Price & Company,Effective,1993-05-11T01:00:00,Closed,Bespoke,Gelliargwellt Uchaf Farm 2 Landfill,Gelligaer,,,Hengoed,CF82 8FY,ST 12302 95848,312302,195848,SouthEast,SE Waste Regulation Team,Caerphilly,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (312302 195848)
nrw_authorised_landfill_sites_pnt.74,74,YP3895FY,Timet U K Ltd,Effective,1977-08-08T01:00:00,Closed,Bespoke,Timet Landfill,,,,Waunarlwydd,SA1 1XD,SS 60190 96248,260190,196248,SouthWest,SW Waste Regulation Team,Swansea,Waste,A07,Industrial Waste Landfill (Factory curtilage),0,Tonnes per annum,POINT (260190 196248)
nrw_authorised_landfill_sites_pnt.75,75,YP3995FQ,INCO Europe Ltd,Effective,1997-03-30T00:00:00,Closed,Bespoke,Inco Europe Ltd,Glais Road,Clydach,,Swansea,SA6 5QR,SN 69372 00951,269372,200951,SouthWest,SW Waste Regulation Team,Swansea,Waste,A07,Industrial Waste Landfill (Factory curtilage),0,Tonnes per annum,POINT (269372 200951)
nrw_authorised_landfill_sites_pnt.76,76,ZP3099FN,Price & Company,Effective,1991-03-19T00:00:00,Closed,Bespoke,Gellia Ar Gwellt Uchaf Farm Landfill  No 1,Gwellia Ar Gwellt Uchaf Farm L/fill,Waun Rhydd,Gelligaer,Hengoed,CF82 8FY,ST 12440 96470,312440,196470,SouthEast,SE Waste Regulation Team,Caerphilly,Waste,A06,Landfill taking other wastes,0,Tonnes per annum,POINT (312440 196470)
nrw_authorised_landfill_sites_pnt.77,77,ZP3599FP,Dow Silicones UK Limited,Effective,1991-04-09T01:00:00,Closed,Bespoke,Dow Corning Ltd,Dow Corning Landfill,,,Barry,CF63 2YL,ST 13530 68521,313530,168521,SouthEast,SC Waste Regulation Team,Vale of Glamorgan,Waste,A07,Industrial Waste Landfill (Factory curtilage),18250,Tonnes per annum,POINT (313530 168521)
nrw_authorised_landfill_sites_pnt.78,78,ZP3799FM,"Price, Mr And Mrs G L",Effective,1991-10-07T01:00:00,Closed,Bespoke,Ty'r Eos Farm Landfill,Ty'r Eos Farm Landfill,Gwehelog,,Usk,NP15 1RD,SO 38928 05130,338928,205130,SouthEast,SE Waste Regulation Team,Monmouthshire,Waste,A04,"Household, Commercial & Industrial Waste Landfill",0,Tonnes per annum,POINT (338928 205130)
nrw_authorised_landfill_sites_pnt.79,79,BU0800IZ,3C Waste Limited,Effective,2024-07-12T01:00:00,Operational,Bespoke,Llanddulas Landfill EPR/BU0800IZ,LLANDDULAS QUARRY ABERGELE ROAD,LLANDDULAS,ABERGELE,ABERGELE,LL22 8HP,SH 90400 77500,290400,377500,North,NW Industry & Waste Regulation Team,Conwy,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",600000,Tonnes per annum,POINT (290400 377500)
nrw_authorised_landfill_sites_pnt.80,80,GP3330BY,Gwynedd Council,Effective,2023-11-16T00:00:00,Closed,Bespoke,Ffridd Rasus Landfill,Ffridd Rasus Landfill Site,Morfa Road,,Harlech,LL46 2UW,SH 57930 33860,257930,333860,North,NW Industry & Waste Regulation Team,Gwynedd,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",0,Tonnes per annum,POINT (257930 333860)
nrw_authorised_landfill_sites_pnt.81,81,YP3138UJ,Gwynedd Council,Effective,2016-02-22T00:00:00,Operational,Bespoke,Llwyn Isaf Landfill,Llwyn Isaf Landfill Site,Clynnog Fawr,,,LL54 5DF,SH 45000 48800,245000,348800,North,NW Industry & Waste Regulation Team,Gwynedd,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",,Tonnes per annum,POINT (245000 348800)
nrw_authorised_landfill_sites_pnt.82,82,BL3986ID,Tarmac Cement Limited,Effective,2024-08-21T01:00:00,Operational,Bespoke,Aberthaw Works,Aberthaw Works,East Aberthaw,Barry,,CF62 3ZR,ST 03410 67030,303410,167030,SouthEast,SC Industry Regulation Team,Vale of Glamorgan,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",0,Tonnes per annum,POINT (303410 167030)
nrw_authorised_landfill_sites_pnt.83,83,DP3432SW,CCR Energy Limited,Effective,2023-03-14T00:00:00,Operational,Bespoke,Aberthaw Ash Disposal Site EPR/DP3432SW,Aberthaw Power Station The Leys,,,Aberthaw,CF62 4ZW,ST 02210 66320,302210,166320,SouthEast,SC Industry Regulation Team,Vale of Glamorgan,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",1000000,Tonnes per annum,POINT (302210 166320)
nrw_authorised_landfill_sites_pnt.84,84,PP3139GB,Enovert North Limited,Effective,2020-03-06T00:00:00,Operational,Bespoke,Hafod Quarry Landfill Site,Hafod Quarry Landfill Bangor Road,Johnstown,Wrexham,,LL14 6ET,SJ 30912 45490,330912,345490,North,NE Industry Regulation Team,Wrexham,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",300000,Tonnes per annum,POINT (330912 345490)
nrw_authorised_landfill_sites_pnt.85,85,GP3331SV,Tata Steel UK Limited,Effective,2013-08-12T01:00:00,Pre-Operational,Bespoke,Queensway Non-Haz Landfill EPR/GP3331SV,South Side Queensway Non-Hazardous Landfill Site Llanwern Works,Newport,,,NP19 4QZ,ST 38100 85700,338100,185700,SouthEast,SE Industry Regulation Team,Newport,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",13500,Tonnes per annum,POINT (338100 185700)
nrw_authorised_landfill_sites_pnt.86,86,BV7311IE,Tata Steel UK Limited,Effective,2021-10-07T01:00:00,Operational,Bespoke,Morfa Non-Hazardous Landfill,Port Talbot Steel Works Abbey Works,Margam,,PORT TALBOT,SA13 2NG,SS 78090 86800,278090,186800,SouthWest,SW Industry Regulation Team,Neath Port Talbot,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",0,Tonnes per annum,POINT (278090 186800)
nrw_authorised_landfill_sites_pnt.87,87,DP3733BK,Newport City Council,Effective,2022-01-18T00:00:00,Operational,Bespoke,Docksway Landfill,Docksway Disposal Site - Phase 2 Docks Way,Newport,,,NP20 2NS,ST 30700 84850,330700,184850,SouthEast,SE Industry Regulation Team,Newport,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",171750,Tonnes per annum,POINT (330700 184850)
nrw_authorised_landfill_sites_pnt.88,88,AP3739KS,Flintshire County Council,Effective,2013-03-25T00:00:00,Operational,Bespoke,Brookhill Landfill Site EPR/AP3739KS,BROOK HILL LFS PINFOLD INDUSTRIAL ESTATE,BUCKLEY,,BUCKLEY,CH7 3PL,SJ 27880 65320,327880,365320,North,NE Industry Regulation Team,Flintshire,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",0,Tonnes per annum,POINT (327880 365320)
nrw_authorised_landfill_sites_pnt.89,89,VP3935AT,Enovert South Ltd,Effective,2021-11-11T00:00:00,Operational,Bespoke,Tir John Landfill,Wern Fawr Road,Off Fabian Way,Port Tenant,SWANSEA,SA1 8LN,SS 67240 97390,267240,197390,SouthWest,SW Industry Regulation Team,Swansea,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",225000,Tonnes per annum,POINT (267240 197390)
nrw_authorised_landfill_sites_pnt.90,90,MP3330WP,Resources Management U.K Limited,Effective,2025-05-13T01:00:00,Operational,Bespoke,Withyhedge Landfill,Withyhedge Landfill Bowlings House,Rudbaxton,Haverfordwest,,SA62 4DB,SM 97000 21600,197000,221600,SouthWest,SW Industry Regulation Team,Pembrokeshire,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",250000,Tonnes per annum,POINT (197000 221600)
nrw_authorised_landfill_sites_pnt.91,91,RP3733PC,Biffa Waste Services Ltd,Effective,2022-07-25T01:00:00,Operational,Bespoke,Trecatti Landfill,Trecatti Landfill Site,Fochriw Road,,Merthyr Tydfil,CF48 4AB,SO 08140 07680,308140,207680,SouthEast,SC Industry Regulation Team,Merthyr Tydfil,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",675000,Tonnes per annum,POINT (308140 207680)
nrw_authorised_landfill_sites_pnt.92,92,MP3835SV,Blaenau Gwent County Borough Council,Effective,2023-05-02T01:00:00,Closed,Bespoke,Silent Valley Landfill Site,Beechwood House,,,Ebbwvale,NP23 6PZ,SO 18460 06550,318460,206550,SouthEast,SE Industry Regulation Team,Blaenau Gwent,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",0,Tonnes per annum,POINT (318460 206550)
nrw_authorised_landfill_sites_pnt.93,93,BP3339BH,RWE Generation UK plc,Effective,2012-10-26T01:00:00,Operational,Bespoke,Aberthaw Quarry Ash Disposal Site EPR/BP3339BH,Aberthaw Quarry Lafarge Cement Works,East Aberthaw,Barry,,CF62 3ZR,ST 04000 67200,304000,167200,SouthEast,SC Industry Regulation Team,Vale of Glamorgan,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",500000,Tonnes per annum,POINT (304000 167200)
nrw_authorised_landfill_sites_pnt.94,94,GP3030BE,Tata Steel UK Limited,Effective,2025-02-21T00:00:00,Operational,Bespoke,Shotton Works Landfill Site No 1,Shotton Works Weighbridge Road,Deeside Industrial Park,,,CH5 2NH,SJ 29143 70981,329143,370981,North,NE Industry Regulation Team,Flintshire,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",70000,Tonnes per annum,POINT (329143 370981)
nrw_authorised_landfill_sites_pnt.95,95,CP3735PB,CWM Environmental Ltd,Effective,2009-09-23T01:00:00,Operational,Bespoke,Nantycaws Landfill EPR/CP3735PB,Nantycaws Landfill Site Llanddarog Road,Nantycaws,,Carmarthen,SA32 8BG,SN 47860 17580,247860,217580,SouthWest,SW Industry Regulation Team,Carmarthenshire,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",150000,Tonnes per annum,POINT (247860 217580)
nrw_authorised_landfill_sites_pnt.96,96,BU8819IV,FCC Waste Services (UK) Limited,Effective,2025-01-13T00:00:00,Operational,Bespoke,Pwllfawatkin Landfill Site EPR/BU8819IV,Pwllfawatkin Landfill Site,Pontardawe,,SWANSEA,SA8 4RX,SN 69470 08330,269470,208330,SouthWest,SW Industry Regulation Team,Neath Port Talbot,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",0,Tonnes per annum,POINT (269470 208330)
nrw_authorised_landfill_sites_pnt.97,97,TP3835LV,SI Green UK LImited,Effective,2020-06-23T01:00:00,Closed,Bespoke,CWMRHYDYCEIRW QUARRY LANDFILL,Cwmrhydyceirw Quarry Vicarage Road,Cwmrhydyceirw,Morriston,,SA6 6DR,SS 66500 99300,266500,199300,SouthWest,SW Industry Regulation Team,Swansea,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",0,Tonnes per annum,POINT (266500 199300)
nrw_authorised_landfill_sites_pnt.98,98,DP3732SQ,Cynon Valley Waste Disposal Company Ltd,Effective,2010-09-13T01:00:00,Operational,Bespoke,Bryn Pica Landfill EPR/DP3732SQ,Bryn Pica Landfill Site,Llwydcoed,Aberdare,,CF44 0BX,SO 00900 05330,300900,205330,SouthEast,SC Industry Regulation Team,Rhondda Cynon Taff,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",6600000,Tonnes per annum,POINT (300900 205330)
nrw_authorised_landfill_sites_pnt.99,99,JP3239ST,The County Council of the City and County of cardiff,Effective,2007-01-08T00:00:00,Operational,Bespoke,Lamby Way Landfill Site EPR/JP3239ST,Lamby Way Landfill Site Lamby Way,Cardiff,,,CF3 8EQ,ST 22500 78000,322500,178000,SouthEast,SC Industry Regulation Team,Cardiff,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",603650,Tonnes per annum,POINT (322500 178000)
nrw_authorised_landfill_sites_pnt.100,100,BU7766IC,Sundorne Products (llanidloes) Ltd,Effective,2022-06-16T01:00:00,Operational,Bespoke,Bryn Posteg Landfill,Bryn Posteg Landfill Site Tylwch Road,,,Llanidloes,SY18 6JJ,SN 99100 82200,299100,282200,Mid,NE Industry Regulation Team,Powys,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",75000,Tonnes per annum,POINT (299100 282200)
nrw_authorised_landfill_sites_pnt.101,101,GP3830BG,FCC Waste Services (UK) Limited,Effective,2023-03-16T00:00:00,Closed,Bespoke,Chirk Landfill Site EPR/GP3830BG,Pen-y-Bont Works,Chirk,,WREXHAM,LL14 5AR,SJ 29140 41430,329140,341430,North,NE Industry Regulation Team,Wrexham,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",0,Tonnes per annum,POINT (329140 341430)
nrw_authorised_landfill_sites_pnt.102,102,BT1908IX,JLA Disposal Limited,Effective,2013-02-21T00:00:00,Operational,Bespoke,Palleg Landfill Phase II EPR/BT1908IX,Tir Canol Palleg Road,,,Lower Cwmtwrch,SA9 2QQ,SN 76870 11510,276870,211510,SouthWest,SW Industry Regulation Team,Powys,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",24999,Tonnes per annum,POINT (276870 211510)
nrw_authorised_landfill_sites_pnt.103,103,BW2692IM,Tata Steel UK Limited,Effective,2021-10-21T01:00:00,Operational,Bespoke,Morfa Hazardous Landfill,Corus Strip Products Port Talbot Works,,,Port Talbot,SA13 2NG,SS 77610 84280,277610,184280,SouthWest,SW Industry Regulation Team,Neath Port Talbot,Installation,5.2 Part A (1) a),"The disposal of waste in a landfill receiving more than 10 tonnes of waste in any day, or with a total capacity of more than 25,000 tonnes, but excluding disposals in a landfill taking only inert waste.",0,Tonnes per annum,POINT (277610 184280)
