Apprehension AOR,weeks_since_inauguration,arrests
Dallas,1,443
Dallas,2,355
Dallas,3,388
Dallas,4,350
Dallas,5,442
Dallas,6,409
Dallas,7,394
Dallas,8,391
Dallas,9,414
Dallas,10,405
Dallas,11,470
Dallas,12,401
Dallas,13,290
Dallas,14,337
Dallas,15,404
Dallas,16,400
Dallas,17,503
Dallas,18,430
Dallas,19,465
Dallas,20,499
Dallas,21,420
Dallas,22,460
Dallas,23,418
Dallas,24,377
Dallas,25,334
Dallas,26,410
Dallas,27,427
Dallas,28,407
Dallas,29,451
Dallas,30,480
Dallas,31,440
Dallas,32,563
Dallas,33,605
Dallas,34,612
Dallas,35,559
Dallas,36,533
Dallas,37,695
Dallas,38,362
Denver,-15,28
Denver,-14,23
Denver,-13,33
Denver,-12,23
Denver,-11,25
Denver,-10,22
Denver,-9,41
Denver,-8,25
Denver,-7,20
Denver,-6,34
Denver,-5,34
Denver,-4,66
Denver,-3,24
Denver,-2,28
Denver,-1,27
Denver,0,106
Denver,1,137
Denver,2,105
Denver,3,60
Denver,4,79
Denver,5,75
Denver,6,67
Denver,7,79
Denver,8,73
Denver,9,87
Denver,10,59
Denver,11,67
Denver,12,68
Denver,13,213
Denver,14,92
Denver,15,65
Denver,16,80
Denver,17,110
Denver,18,97
Denver,19,148
Denver,20,166
Denver,21,130
Denver,22,117
Denver,23,92
Denver,24,154
Denver,25,209
Denver,26,89
Denver,27,98
Denver,28,118
Denver,29,100
Denver,30,114
Denver,31,118
Denver,32,94
Denver,33,137
Denver,34,110
Denver,35,96
Denver,36,102
Denver,37,120
Denver,38,35
Detroit,-15,52
Detroit,-14,37
Detroit,-13,42
Detroit,-12,32
Detroit,-11,43
Detroit,-10,30
Detroit,-9,39
Detroit,-8,34
Detroit,-7,25
Detroit,-6,35
Detroit,-5,33
Detroit,-4,40
Detroit,-3,11
Detroit,-2,16
Detroit,-1,35
Detroit,0,94
Detroit,1,89
Detroit,2,85
Detroit,3,84
Detroit,4,77
Detroit,5,93
Detroit,6,98
Detroit,7,98
Detroit,8,104
Detroit,9,92
Detroit,10,105
Detroit,11,105
Detroit,12,111
Detroit,13,115
Detroit,14,134
Detroit,15,70
Detroit,16,109
Detroit,17,101
Detroit,18,145
Detroit,19,233
Detroit,20,149
Detroit,21,155
Detroit,22,169
Detroit,23,130
Detroit,24,150
Detroit,25,159
Detroit,26,163
Detroit,27,154
Detroit,28,155
Detroit,29,141
Detroit,30,161
Detroit,31,142
Detroit,32,159
Detroit,33,146
Detroit,34,169
Detroit,35,177
Detroit,36,214
Detroit,37,190
Detroit,38,81
El Paso,-15,31
El Paso,-14,24
El Paso,-13,27
El Paso,-12,18
El Paso,-11,57
El Paso,-10,41
El Paso,-9,29
El Paso,-8,38
El Paso,-7,37
El Paso,-6,33
El Paso,-5,29
El Paso,-4,83
El Paso,-3,16
El Paso,-2,33
El Paso,-1,53
El Paso,0,55
El Paso,1,105
El Paso,2,64
El Paso,3,68
El Paso,4,51
El Paso,5,73
El Paso,6,72
El Paso,7,62
El Paso,8,47
El Paso,9,48
El Paso,10,74
El Paso,11,34
El Paso,12,52
El Paso,13,78
El Paso,14,49
El Paso,15,48
El Paso,16,62
El Paso,17,64
El Paso,18,130
El Paso,19,240
El Paso,20,249
El Paso,21,125
El Paso,22,121
El Paso,23,96
El Paso,24,132
El Paso,25,135
El Paso,26,233
El Paso,27,316
El Paso,28,350
El Paso,29,390
El Paso,30,196
El Paso,31,208
El Paso,32,271
El Paso,33,263
El Paso,34,295
El Paso,35,233
El Paso,36,263
El Paso,37,331
El Paso,38,189
HQ,-15,1
HQ,-14,1
HQ,-11,1
HQ,-9,1
HQ,-8,2
HQ,-6,1
HQ,0,1
HQ,3,1
HQ,4,1
HQ,5,1
HQ,7,1
HQ,8,1
HQ,9,3
HQ,10,1
HQ,11,1
HQ,12,1
HQ,16,3
HQ,17,3
HQ,18,1
HQ,20,2
HQ,21,2
HQ,22,1
HQ,23,1
HQ,24,3
HQ,25,6
HQ,26,5
HQ,27,7
HQ,28,1
HQ,29,6
HQ,30,3
HQ,31,7
HQ,32,10
HQ,33,3
HQ,34,5
HQ,35,8
HQ,36,3
HQ,37,1
Harlingen,-15,118
Harlingen,-14,100
Harlingen,-13,89
Harlingen,-12,107
Harlingen,-11,93
Harlingen,-10,87
Harlingen,-9,88
Harlingen,-8,97
Harlingen,-7,37
Harlingen,-6,124
Harlingen,-5,128
Harlingen,-4,97
Harlingen,-3,44
Harlingen,-2,31
Harlingen,-1,75
Harlingen,0,174
Harlingen,1,196
Harlingen,2,136
Harlingen,3,143
Harlingen,4,132
Harlingen,5,143
Harlingen,6,143
Harlingen,7,98
Harlingen,8,147
Harlingen,9,113
Harlingen,10,134
Harlingen,11,120
Harlingen,12,109
Harlingen,13,114
Harlingen,14,115
Harlingen,15,106
Harlingen,16,172
Harlingen,17,138
Harlingen,18,154
Harlingen,19,230
Harlingen,20,138
Harlingen,21,155
Harlingen,22,180
Harlingen,23,130
Harlingen,24,185
Harlingen,25,165
Harlingen,26,196
Harlingen,27,203
Harlingen,28,197
Harlingen,29,205
Harlingen,30,182
Harlingen,31,227
Harlingen,32,172
Harlingen,33,208
Harlingen,34,171
Harlingen,35,226
Harlingen,36,266
Harlingen,37,191
Harlingen,38,87
Houston,-15,193
Houston,-14,205
Houston,-13,199
Houston,-12,178
Houston,-11,171
Houston,-10,175
Houston,-9,203
Houston,-8,242
Houston,-7,157
Houston,-6,214
Houston,-5,244
Houston,-4,281
Houston,-3,150
Houston,-2,184
Houston,-1,179
Houston,0,419
Houston,1,370
Houston,2,307
Houston,3,323
Houston,4,289
Houston,5,489
Houston,6,386
Houston,7,336
Houston,8,365
Houston,9,306
Houston,10,375
Houston,11,354
Houston,12,325
Houston,13,314
Houston,14,308
Houston,15,407
Houston,16,327
Houston,17,424
Houston,18,345
Houston,19,568
Houston,20,487
Houston,21,428
Houston,22,526
Houston,23,414
Houston,24,467
Houston,25,464
Houston,26,461
Houston,27,477
Houston,28,568
Houston,29,527
Houston,30,695
Houston,31,514
Houston,32,500
Houston,33,538
Houston,34,604
Houston,35,596
Houston,36,638
Houston,37,600
Houston,38,194
Los Angeles,-15,89
Los Angeles,-14,76
Los Angeles,-13,80
Los Angeles,-12,95
Los Angeles,-11,99
Los Angeles,-10,68
Los Angeles,-9,93
Los Angeles,-8,90
Los Angeles,-7,59
Los Angeles,-6,101
Los Angeles,-5,66
Los Angeles,-4,71
Los Angeles,-3,49
Los Angeles,-2,57
Los Angeles,-1,62
Los Angeles,0,199
Los Angeles,1,187
Los Angeles,2,136
Los Angeles,3,151
Los Angeles,4,130
Los Angeles,5,244
Los Angeles,6,140
Los Angeles,7,142
Los Angeles,8,108
Los Angeles,9,122
Los Angeles,10,120
Los Angeles,11,122
Los Angeles,12,126
Los Angeles,13,87
Los Angeles,14,158
Los Angeles,15,229
Los Angeles,16,126
Los Angeles,17,187
Los Angeles,18,273
Los Angeles,19,536
Los Angeles,20,557
Los Angeles,21,648
Los Angeles,22,558
Los Angeles,23,555
Los Angeles,24,710
Los Angeles,25,269
Los Angeles,26,255
Los Angeles,27,256
Los Angeles,28,295
Los Angeles,29,293
Los Angeles,30,281
Los Angeles,31,279
Los Angeles,32,255
Los Angeles,33,293
Los Angeles,34,274
Los Angeles,35,287
Los Angeles,36,268
Los Angeles,37,320
Los Angeles,38,183
Miami,-15,165
Miami,-14,92
Miami,-13,230
Miami,-12,192
Miami,-11,210
Miami,-10,168
Miami,-9,238
Miami,-8,277
Miami,-7,135
Miami,-6,212
Miami,-5,207
Miami,-4,246
Miami,-3,114
Miami,-2,118
Miami,-1,256
Miami,0,529
Miami,1,678
Miami,2,491
Miami,3,543
Miami,4,532
Miami,5,556
Miami,6,536
Miami,7,608
Miami,8,474
Miami,9,498
Miami,10,479
Miami,11,426
Miami,12,460
Miami,13,762
Miami,14,455
